Symbol,Count
SIC/SYY ~,2
SIC/AAL ~,15996
SIC/FXI ~,6874
SIC/EA ~,6
NAC/LIVEPOL C-1,28489
NAC/FRES ~,9
NAC/BOLSA A,33000
NAC/PINFRA ~,61818
NAC/LAB B,89077
SIC/YRD N,2
NAC/KUO B,29
NAC/GNP ~,12
SIC/GLW ~,2
NAC/GCC ~,32060
NAC/GMD ~,6
NAC/MEXTRAC 09,26701
SIC/DGTL N,218
NAC/GRUMA B,110225
NAC/MEDICA B,253
SIC/SOXX ~,6474
NAC/WALMEX ~,117211
NAC/CHDRAUI B,66968
NAC/TEAK CPO,38
NAC/PROCORP B,4
SIC/IWVL N,2
NAC/SPORT S,45
NAC/ANGELD 10,242
NAC/CIE B,29
NAC/CYDSASA A,240
NAC/GENTERA ~,69489
NAC/ARA ~,674
NAC/MFRISCO A-1,218
SIC/NEM ~,4492
NAC/MINSA B,11
NAC/CMR B,10090
NAC/HERDEZ ~,716
NAC/FUNO 11,71098
NAC/CIDMEGA ~,4
NAC/FRAGUA B,86
NAC/R A,64214
NAC/CERAMIC B,3
NAC/ALPEK A,42681
NAC/Q ~,60113
NAC/VESTA ~,102239
NAC/SORIANA B,1415
NAC/CEMEX CPO,115619
SIC/LNG ~,60
SIC/ULTA ~,2657
SIC/SHOP N,9739
SIC/ATHM N,1
SIC/HUM ~,1708
SIC/AAP ~,3
SIC/LUMN ~,14
SIC/MOMO N,6
SIC/DE ~,2941
SIC/VUG ~,7204
SIC/VTV ~,3198
SIC/SOXL ~,112530
SIC/SOXS ~,15337
SIC/VOE ~,2
SIC/LIT ~,4747
SIC/VB ~,2185
SIC/GIS ~,2333
SIC/VBR ~,9
SIC/VGK ~,4575
SIC/VWO ~,5566
SIC/TEP N,2
SIC/AMD ~,105962
SIC/DAL ~,12847
SIC/TX ~,9161
SIC/SQ ~,11429
SIC/LULU ~,6708
SIC/UAL ~,13010
SIC/GME ~,14658
SIC/URA ~,10
SIC/DELLC ~,9108
SIC/CCL N,5
SIC/DGG ~,5
SIC/ENGY N,1
SIC/EWW ~,2747
SIC/AWR ~,1
SIC/SXLE N,323
SIC/MRNA ~,11488
SIC/SPOT N,4444
SIC/NDAQ ~,7
SIC/CCL1 N,12194
SIC/HBAN ~,2
SIC/AZO ~,6688
SIC/IB01 N,25462
SIC/CPB ~,1
SIC/SWK ~,11
SIC/DAVA N,9
SIC/DBX ~,8
SIC/HAS ~,1
SIC/BBUS ~,1
SIC/EPAM ~,10
SIC/BCRX ~,1
SIC/WDAY ~,1
SIC/C ~,8820
SIC/ZBRA ~,2777
SIC/BYND ~,19
SIC/UBER ~,9017
SIC/OXY1 ~,10098
SIC/IB1MXX N,14296
SIC/LEVI ~,1
SIC/VUAA N,31826
SIC/VWRA N,25752
SIC/ZS ~,5371
SIC/OKTA ~,5
SIC/PANW ~,7601
SIC/TREE ~,1
SIC/GNOM ~,4
SIC/NIO N,35716
SIC/PTON ~,19557
SIC/ODFL ~,1
SIC/SWKS ~,1
SIC/TDOC ~,8053
SIC/VCR ~,7254
SIC/VDE ~,5259
SIC/VEA ~,4465
SIC/INO ~,13
SIC/CLX ~,4
SIC/HERO ~,25
SIC/GXTG ~,1
SIC/CRWD ~,7482
SIC/ZM ~,8810
SIC/PARA ~,12536
SIC/MBIL N,14358
SIC/ZTO N,1
SIC/AMC ~,10875
SIC/ETSY ~,10802
SIC/GPN ~,2768
SIC/BRKB ~,6279
SIC/BNTX N,2677
SIC/SPLG ~,2270
SIC/NKLA ~,21360
SIC/MTCH1 ~,4
SIC/ROKU ~,23619
SIC/NVAX ~,30225
SIC/CRSP N,3
SIC/PDD N,13594
SIC/GLOB N,1
SIC/O ~,5987
SIC/FL ~,2
SIC/MELI N,5423
SIC/CHWY ~,6147
SIC/STYC N,1
SIC/GLXY N,5
SIC/VTRS ~,13
SIC/LIA N,4262
SIC/BEKE N,3
SIC/XPEV N,39631
SIC/1810 N,122
SIC/SNOW ~,5907
SIC/QS ~,7505
SIC/PLUG ~,3424
SIC/VST ~,7
SIC/941 N,2
SIC/MSTR ~,18337
SIC/ACLS ~,4
SIC/MARA ~,34384
SIC/RIOT ~,26404
SIC/DTCR ~,4
SIC/DAO N,1
SIC/API N,2
SIC/VXRT ~,1
SIC/GEVO ~,4
SIC/BTBT N,26
SIC/ATER ~,1125
SIC/ABNB ~,10923
SIC/LOGC ~,5
SIC/HMY N,1
SIC/JETS ~,4
SIC/WOOF ~,3
SIC/SAM ~,1
SIC/DLR ~,1
SIC/OCGN ~,2043
SIC/SQQQ ~,19957
SIC/TQQQ ~,53814
SIC/EH N,4
SIC/LCID ~,4407
SIC/SPT ~,1
SIC/VSCO ~,3
SIC/NOVOB N,2
SIC/SOFI ~,20071
SIC/PLTR ~,34219
SIC/BIDU N,10437
SIC/XRX ~,1
SIC/NU N,11649
SIC/RBLX ~,29
SIC/RIVN ~,25309
SIC/WBD ~,24193
SIC/COIN ~,10028
SIC/DKNG1 ~,11060
SIC/POST ~,3
SIC/SKX ~,1
SIC/SMCI ~,44041
SIC/ICOP ~,2
SIC/ARM N,7085
SIC/SPYL N,562
SIC/CELH ~,143
SIC/1211 N,11
SIC/GRAL ~,4
SIC/ECH ~,813
SIC/TJX ~,2
SIC/V ~,7563
SIC/CVS ~,7825
SIC/UAA ~,9
SIC/IBTS N,1
SIC/RCL ~,5561
SIC/ITOT ~,2507
SIC/LVS ~,13229
SIC/MGM ~,5523
SIC/WYNN ~,10538
SIC/VNQ ~,6759
SIC/DDM ~,13145
SIC/AAXJ ~,7949
SIC/SHV ~,77497
SIC/VT ~,6327
SIC/VYM ~,15
SIC/MBB ~,1
SIC/VIG ~,2645
SIC/QLD ~,31973
SIC/EMR ~,3
SIC/IYT ~,2
SIC/PSQ ~,7360
SIC/FAS ~,11833
SIC/EDC ~,34826
SIC/EDZ ~,23780
SIC/WBA ~,5774
SIC/ICLN ~,6629
SIC/IXC ~,2
SIC/GM ~,14909
SIC/CHIQ ~,1
SIC/SIL ~,3034
SIC/COF ~,1
SIC/NVDA ~,141658
SIC/PGX ~,1
SIC/GOLD N,7925
SIC/UNP ~,2244
SIC/VOO ~,5602
SIC/AGNC ~,18
SIC/IGOV ~,1
SIC/NFLX ~,9119
SIC/SMH ~,11319
SIC/ACWV ~,1
SIC/SMSN N,10
SIC/META ~,19951
SIC/UNH ~,5646
SIC/NDIA N,1
SIC/MSFT ~,12952
SIC/INDA ~,2155
SIC/PVH ~,1
NAC/POCHTEC B,14
NAC/GENIUS 21,2805
NAC/GIGANTE ~,14
SIC/JBSAY N,1
SIC/TIGR N,21898
SIC/DM ~,4
NAC/ACTINVR B,165
NAC/JAVER ~,9
SIC/CIG N,3
SIC/TAL N,9606
SIC/SDMXX N,17165
SIC/RBOT N,268
NAC/BAFAR B,42
SIC/FUBO ~,4917
NAC/HOMEX ~,47
SIC/VJPA N,22529
SIC/ACWI ~,6625
SIC/KWEB ~,11535
SIC/EMN ~,2
SIC/QYLD ~,5
SIC/BA ~,6802
NAC/FINAMEX O,1
SIC/KO ~,22412
SIC/INTC ~,24235
SIC/ABEV N,5124
SIC/BOTZ ~,5629
SIC/BLUE ~,5
SIC/VFEA N,23458
SIC/CRSR ~,6
SIC/HLN1 N,6
NAC/ACCELSA B,2
NAC/VASCONI ~,26
SIC/CROX ~,2
NAC/DIABLOI 10,271
SIC/BBDB N,4
SIC/NRSH ~,2196
SIC/VGT ~,8233
SIC/WMT ~,6734
SIC/XLE ~,12144
NAC/ESGMEX ISHRS,28040
SIC/HPE ~,5641
SIC/FCEL ~,35
SIC/APA ~,12494
SIC/NOMD N,5
SIC/ABBN N,419
SIC/PATH ~,6171
SIC/SNAP ~,17351
NAC/SMARTRC 14,4
SIC/LLY ~,5642
SIC/DGRO ~,11
SIC/RIO N,32
NAC/FVIA 16,12
SIC/TTWO ~,3
SIC/PBRA N,3
NAC/CHNTRAC 11,10
SIC/QAT ~,7
SIC/ARGT ~,2
SIC/LMT ~,2296
SIC/NOC ~,2761
SIC/DIS ~,9927
SIC/GD ~,2
SIC/CQQQ ~,13
SIC/SAN N,18
SIC/MCHI ~,15435
SIC/TCEHY N,131
SIC/PPLT ~,11
SIC/BUG ~,7
SIC/IBB ~,3039
SIC/ITA ~,14
SIC/175 N,1
SIC/JPM ~,21502
SIC/IUFS N,2
SIC/BKCH ~,12864
SIC/EWY ~,20
SIC/3988 N,3
SIC/MNST ~,6867
SIC/FXB ~,1
SIC/EMB ~,5
SIC/EWN ~,4
SIC/EIRL ~,4
SIC/TM N,2031
SIC/PG ~,7158
NAC/PLANI ~,1
SIC/ENPH ~,6860
SIC/VISC N,1
SIC/AAAU ~,1
SIC/APPS N,1
SIC/AMS N,1
SIC/EOG ~,3577
SIC/V3AA N,2
SIC/T ~,5176
SIC/XLB ~,3022
SIC/XBAS N,1
SIC/IBM ~,5109
SIC/CIBR ~,13
SIC/XLP ~,8241
SIC/HON ~,2787
SIC/ON ~,2
SIC/CMCSA ~,29
SIC/GT ~,7
SIC/RVLV ~,3
SIC/QCLN ~,3359
SIC/SIXG ~,2
SIC/MASI ~,2
SIC/SPYG ~,20
SIC/CSPXX N,18591
SIC/SKLZ ~,3
NAC/SIMEC B,11860
SIC/BE ~,1
SIC/IVW ~,8
SIC/XOM ~,9848
NAC/IDEAL B-1,1
SIC/EWC ~,46
SIC/IHYA N,33726
NAC/ALEATIC ~,6
SIC/IBTA N,60782
SIC/JKS N,2
SIC/IUSZ N,1
SIC/ALLY1 ~,2
SIC/SPCE ~,22599
SIC/TBBB N,4
SIC/GE ~,5678
SIC/EPU ~,2
SIC/ALO N,2
SIC/ECAR N,332
SIC/EWT ~,8
SIC/FNV N,1
SIC/BRBR ~,2
SIC/EIMI N,180
SIC/BB N,10662
SIC/VOOV ~,3
SIC/FTNT ~,8745
SIC/EWS ~,40
SIC/TECS ~,4071
SIC/EPI ~,1
SIC/VPL ~,7
SIC/GEN ~,1
SIC/SABE N,1
SIC/BN1 N,1
SIC/DRIV ~,33
SIC/VWS N,1
SIC/DUK ~,2
SIC/AIR N,3
SIC/SOLV ~,3
SIC/MMM ~,6033
SIC/EBIZ ~,8
SIC/EBAY ~,6391
SIC/EWL ~,1092
SIC/C300 N,7
SIC/IYW ~,9203
NAC/SRE ~,6260
SIC/IUIS N,1
SIC/BTEC1 N,354
SIC/UPWK ~,4
SIC/ZK N,1
SIC/LABD ~,23130
SIC/LMND ~,4311
SIC/ARCO N,5
SIC/VAPU N,21519
SIC/ANF ~,3
SIC/WAB ~,3
SIC/EZA ~,7649
SIC/CDNS ~,6
SIC/AZN N,6324
SIC/ADI ~,1
SIC/FBT ~,3
SIC/ASML N,16
SIC/MAT ~,2
SIC/IUUS N,1
SIC/JNJ ~,6649
SIC/IDRV ~,3581
SIC/AMGN ~,1
NAC/GPH 1,7
SIC/GLBE N,1
SIC/ANAU N,33637
SIC/AEP ~,1
SIC/SO ~,1
SIC/CWEN ~,4
SIC/TMF ~,9914
SIC/PAVE ~,1
SIC/MPW ~,3
SIC/DTE N,2
SIC/BMWM5 N,1
NAC/GFMULTI O,1
NAC/FIBRAUP 18,3
SIC/WMI ~,16
SIC/SAP N,2
SIC/MRK ~,6584
SIC/C40 N,1
SIC/FSLY ~,9
SIC/MEDP ~,1
SIC/NOK N,10
SIC/DUST ~,2178
SIC/ABT ~,28
SIC/XNTK ~,1
SIC/KBE ~,1
SIC/SUU N,1
NAC/FMX 23-2,1
SIC/LABU ~,35132
SIC/AA1 ~,5506
SIC/OR N,2
SIC/MEXX ~,14
SIC/CAT ~,6462
SIC/K ~,3
SIC/CUBE ~,2
SIC/AEM N,1
SIC/CLOU ~,1
SIC/VNQI ~,2
SIC/JQUA ~,1
SIC/HUBS ~,1
SIC/LYFT ~,7310
SIC/KLG ~,5
SIC/WDC ~,2
SIC/YUMC ~,5
SIC/GRWG ~,2
SIC/CRNC ~,2
SIC/NDA N,1
SIC/EQAC N,2
SIC/SOL N,4
SIC/VTIP ~,2069
SIC/BNGO ~,6
SIC/NXTG ~,1
SIC/VEU ~,5
SIC/WSML N,1
SIC/AMCR N,1
SIC/GLDM ~,3
NAC/CABLE CPO,6
SIC/NEE ~,3873
SIC/DB N,7723
NAC/KIMBER B,3
SIC/GILD ~,1314
SIC/HD ~,5264
SIC/IJS ~,1
SIC/GEHC ~,2
SIC/HACKUS ~,2
SIC/PARR ~,1
SIC/CAN N,1
SIC/SPHD ~,1
SIC/RMBS ~,1
SIC/BND ~,10
SIC/LDA N,1
SIC/CEG ~,219
SIC/EWD ~,3
SIC/CLF ~,21892
SIC/VRT ~,11
SIC/MO ~,3466
SIC/MCD ~,5308
SIC/COMT ~,1
SIC/DIA ~,9135
SIC/IHE ~,2
SIC/IUCS N,4
SIC/RIG N,8
SIC/ASTS ~,3
SIC/EWJ ~,6241
SIC/FM ~,1
SIC/USRT ~,3
SIC/RDDT ~,1
SIC/HMC N,2
SIC/MUFG N,4
SIC/AIQ ~,9
SIC/MRO ~,1
SIC/BLDR ~,4
SIC/FANG ~,11
SIC/CNYA N,156
SIC/HLT ~,1
SIC/SPHR ~,2
SIC/URI ~,2
SIC/PSTG ~,2
SIC/EDV ~,1
SIC/CABA ~,2
SIC/DPZ ~,2506
SIC/XYLD ~,1
SIC/BATS N,2
SIC/HPQ ~,4233
SIC/HOOD ~,7445
NAC/POSADAS A,8
SIC/DOCU ~,1398
SIC/WULF ~,6
SIC/GDX ~,8142
SIC/PBW ~,1
NAC/KUO A,3
SIC/CTEC ~,1
SIC/ESGU ~,2706
SIC/HIMS ~,3
SIC/CAH ~,1
SIC/DXCM ~,2730
SIC/FMC1 ~,1
SIC/U ~,13945
SIC/HTZ1 ~,1
SIC/AIA ~,2591
SIC/VWOB ~,1
SIC/MILN ~,2
SIC/MNSO N,12
SIC/SAVA ~,11
SIC/COP ~,26
NAC/SOMA 21,6
SIC/STLA N,6
SIC/ESGD ~,3032
SIC/TSN ~,7
SIC/TALO ~,28
SIC/CIND N,1
SIC/UTSI ~,1
SIC/VRM ~,1598
SIC/KGC N,1
SIC/VDTA N,19620
SIC/JPEA N,30855
SIC/QDIV ~,1
SIC/PRQR N,1
SIC/IMVU N,2
SIC/IYC ~,3843
SIC/FEC N,4
SIC/FUTU N,4936
SIC/CHPT ~,5
SIC/IHG N,1
SIC/ILF ~,5
SIC/TEL1 N,1
SIC/ATOS ~,10
SIC/IWDA N,205
SIC/HEAL N,350
SIC/CSIQ N,6
NAC/PV ~,2
SIC/WKHS ~,5
SIC/PI ~,1
SIC/MA ~,5261
SIC/APP ~,4
SIC/SHYG ~,1
SIC/PHO ~,1
SIC/CCAU N,1
SIC/JMIA N,13
SIC/VHVE N,1
SIC/THC ~,1
SIC/SMMT ~,1
SIC/QQQM ~,169
SIC/OGN ~,9
SIC/MRVL1 ~,13822
SIC/BLK ~,4802
NAC/URBI ~,1
SIC/HSY ~,5
SIC/GS ~,4856
SIC/VDST N,23372
SIC/AMSC ~,2
SIC/AMGOLD N,1
SIC/XLK ~,54778
SIC/VDEA N,22716
SIC/IDXX ~,2428
SIC/EQIX ~,2
SIC/OPEN1 ~,2
SIC/VRTX ~,499
SIC/LOGI N,2
SIC/IUCD N,210
SIC/ASHR ~,84
SIC/DTLA N,2
SIC/IUIT N,452
SIC/WPC ~,6
SIC/IEF ~,3889
SIC/UPST ~,30497
SIC/CLSK ~,34679
SIC/IHI ~,3
SIC/TNK N,2
SIC/ENEL N,1
SIC/LAUR ~,1
SIC/QRVO ~,2
SIC/SDIV ~,20
SIC/SHAK ~,1
SIC/ESGV ~,2
SIC/ONON N,6
SIC/LUV ~,9378
SIC/AXP ~,5473
SIC/PINS ~,9842
SIC/KD ~,3
SIC/CARR ~,1
SIC/CWEB ~,5433
SIC/MET ~,1704
SIC/EWM ~,5
SIC/TEF N,1
SIC/LOW ~,4
SIC/EDEN ~,7
SIC/SRET1 ~,4
SIC/BILI N,8
SIC/WU ~,1
SIC/ENOR ~,3
SIC/FICO1 ~,1
SIC/IJR ~,2777
SIC/EWI ~,4
SIC/XLRE ~,2893
SIC/EWQ ~,2
SIC/ICHN N,1
SIC/VHT ~,2404
SIC/HCA ~,1
SIC/FINX ~,1
SIC/BVN N,1
SIC/FLJP ~,3052
SIC/FVRR N,2
NAC/CONVER A,2
SIC/CTLT ~,2
SIC/VGSH ~,2
SIC/SGOL ~,2
SIC/CRUD N,13
SIC/IXN ~,2
SIC/SHEL1 N,7099
NAC/VINTE ~,38
SIC/SAF N,1
SIC/IWM ~,9395
SIC/ADM ~,4
SIC/SPY4 N,227
SIC/PAYC ~,2
SIC/EL ~,19
SIC/ACWX ~,1504
SIC/EMGA N,1
SIC/FLOA N,24212
SIC/ADS N,5
SIC/MTUM ~,1
SIC/PR ~,1
SIC/MDB ~,1
SIC/ROST ~,231
SIC/VOOG ~,1
SIC/MTLS N,3
SIC/OPIUSA ~,1
SIC/SPTI ~,3607
SIC/NTDOY N,3
SIC/XHB ~,6342
SIC/TXG ~,2
SIC/NSANY N,2
SIC/XLU ~,6262
SIC/PM ~,3
SIC/ABBV ~,4992
SIC/7270 N,2
SIC/DHL N,1
SIC/MTG ~,1
SIC/SYF ~,12
SIC/IEV ~,2
SIC/CDE ~,1
SIC/BTG N,1
SIC/VHYA N,23632
SIC/CXM ~,1
SIC/TXN ~,7
SIC/AME ~,1
SIC/ELPC N,1
SIC/NLOP ~,5
SIC/PSP ~,1
SIC/HEE N,1
SIC/XLC ~,22168
SIC/BIL ~,17247
SIC/CSU N,1
SIC/HEIA N,1
SIC/UYG ~,1
NAC/RLH A,7
SIC/BBUSA N,532
SIC/UCAP N,198
SIC/SXLK N,488
SIC/4BRZ N,208
SIC/ISAC N,206
SIC/SXLP N,810
SIC/SUAS N,205
SIC/IUQA N,200
SIC/USPA N,95
SIC/DGRA N,202
SIC/SXLV N,477
SIC/SPEQ N,103
SIC/IUHC N,212
SIC/SXLI N,900
SIC/SXLC N,473
SIC/SUJP N,200
SIC/DPYA N,214
SIC/C500 N,183
SIC/LOCK N,97
SIC/CPXJ N,198
SIC/SXR7 N,215
SIC/IJPA N,23523
SIC/SXRT N,253
SIC/IUSA N,200
SIC/JCCT N,246
SIC/EXS1 N,202
SIC/AGED N,220
SIC/IMEAX N,186
SIC/SUSM N,202
SIC/CEUX N,196
SIC/EUNK N,208
SIC/SDHMX N,43
SIC/IHYMXX N,21
SIC/FAZ ~,16601
SIC/IUSK N,208
SIC/BX ~,5574
SIC/RUN ~,18395
SIC/RTX ~,6151
SIC/MSCI ~,5148
SIC/IVEG ~,1523
SIC/SBS N,3415
SIC/VIS ~,3213
SIC/CNK ~,4667
SIC/CVNA ~,7929
SIC/AGG ~,2296
SIC/BBCA ~,2814
SIC/GAP1 ~,4283
SIC/IYH ~,6119
SIC/IBLC ~,3488
SIC/GNW ~,3732
SIC/ZTS ~,2369
SIC/ITB ~,3868
SIC/EZU ~,2839
SIC/IWO ~,3624
SIC/IHAK ~,1401
SIC/SE N,2887
SIC/OPK ~,5024
SIC/VCSH ~,3919
SIC/LRCX ~,7744
SIC/XOP ~,10735
SIC/XLI ~,6398
SIC/TMO ~,5961
SIC/IEFA ~,3004
SIC/AI1 ~,5051
SIC/FVD ~,2897
SIC/TRN ~,4251
SIC/TEVA N,6320
SIC/BRFS N,3252
SIC/DQ N,188
SIC/HYG ~,3800
SIC/IEI ~,3695
SIC/PAAS N,5904
SIC/APH ~,3815
SIC/URTH ~,3297
SIC/TMUS ~,2359
SIC/XME ~,8150
SIC/FDL ~,2628
SIC/NUGT ~,9304
SIC/GMF ~,9573
SIC/BKNG ~,6448
SIC/YUM ~,2289
SIC/LQD ~,3787
SIC/ESGE ~,3007
SIC/IVE ~,5928
SIC/NTES N,4813
SIC/NET ~,3596
SIC/DVY ~,5840
SIC/NOWW ~,3062
SIC/TMV ~,2437
SIC/BIV ~,2511
SIC/AFRM ~,22861
SIC/IGSB ~,2333
SIC/EXPE ~,5543
SIC/EWZ ~,13976
SIC/RH ~,2583
SIC/XT ~,1594
SIC/JWN ~,3982
SIC/DGRW ~,2477
SIC/FLOT ~,3773
SIC/PICK ~,1611
SIC/GEV ~,2394
SIC/VTWO ~,5035
SIC/SNPS ~,2979
SIC/IQV ~,1993
SIC/IGV ~,1803
SIC/USFR ~,4998
SIC/DNOW ~,5764
SIC/DPST ~,4230
SIC/VDC ~,2454
SIC/VGIT ~,1784
SIC/SCCO ~,3700
SIC/INTU ~,2638
SIC/JBLU ~,9193
SIC/EWA ~,5093
SIC/BSV ~,1871
SIC/DIG ~,7698
SIC/ASML1 N,8836
SIC/EFIV ~,1664
SIC/NXPI N,2727
SIC/VOX ~,3228
SIC/SCI ~,3060
SIC/TSCO1 ~,2303
SIC/IJH ~,4380
SIC/FSLR ~,7573
SIC/MGA N,4343
SIC/ACN N,4442
SIC/DOG ~,2497
SIC/SYK ~,2470
SIC/TTD ~,7614
SIC/CNC ~,3191
SIC/IDNA ~,2253
SIC/BRZU ~,5913
SIC/PRF ~,2429
SIC/IEUR ~,2346
NAC/PSOTRAC 15,9438
SIC/IT25 N,45724
SIC/D26A N,23025
SIC/D28A N,23147
SIC/EWSP N,16381
SIC/ID25 N,22834
SIC/ID29 N,22846
SIC/LQDA N,38317
SIC/SDIA N,26918
SIC/ID30 N,22699
SIC/ID27 N,22905
SIC/IT27 N,23031
SIC/IT29 N,22788
SIC/CBU0 N,24110
NAC/FORION 20,2
SIC/VWCG N,22926
SIC/VAGU N,19944
SIC/VDCA N,22042
SIC/VDPA N,22202
SIC/VNRA N,32123
SIC/AIUU N,15806
SIC/SDHA N,24052
SIC/FRMXNX N,146
SIC/DAIF N,1
SIC/IBTMXX N,18998
SIC/ID25MX N,14260
SIC/ID26MX N,14307
SIC/ID27MX N,14256
SIC/ID28MX N,14264
SIC/IT25MX N,14307
SIC/I37MX N,15728
SIC/VMSTX N,161587
SIC/VMCAX N,19594
SIC/MB3M N,14300
SIC/ID29MX N,14284
SIC/IT27MX N,14229
SIC/ID30MX N,14319
SIC/IT29MX N,14544
SIC/ANAM N,16716
SIC/FOUR ~,1
NAC/QVGMEX 18,31015
SIC/AZTD ~,1725
SIC/DRN ~,1
SIC/CAKE ~,2
SIC/KMI ~,2
SIC/DHR ~,2
SIC/XLG ~,1
SIC/FEZ ~,2
SIC/HDV ~,2
SIC/MOAT ~,2
SIC/SOCL ~,5
SIC/SEDG N,5
