Symbol,Count
NAC/GCARSO A1,29232
NAC/CULTIBA B,64
NAC/GBM O,26
NAC/BIMBO A,53848
NAC/BEVIDES B,7
NAC/GISSA A,120
NAC/PE&OLES ~,85521
NAC/FEMSA UB,30
NAC/ALSEA ~,58061
NAC/ASUR B,101020
NAC/GMEXICO B,89938
NAC/AMX B,82610
NAC/VITRO A,60
NAC/AC ~,97458
NAC/GPROFUT ~,12
NAC/NAFTRAC ISHRS,24705
NAC/GFNORTE O,115747
SIC/DEO N,6
NAC/GFINBUR O,58118
SIC/GSK N,4
NAC/FIHO 12,622
NAC/FIBRAMQ 12,43274
SIC/UL N,4
SIC/VOD N,1904
NAC/FINN 13,187
NAC/TERRA 13,3661
NAC/TLEVISA CPO,30050
SIC/PFE ~,8151
NAC/BBVA ~,313
SIC/VZ ~,26
NAC/PASA B,3
NAC/AXTEL CPO,583
NAC/ALFA A,106778
SIC/AAPL ~,26411
SIC/AMAT ~,6652
NAC/ORBIA ~,101476
NAC/GAP B,132911
SIC/CSCO ~,6620
NAC/HCITY ~,808
NAC/FSHOP 13,376
SIC/ORCL ~,6459
NAC/VOLAR A,26030
SIC/QCOM ~,8041
SIC/SBUX ~,29216
NAC/DANHOS 13,8509
SIC/QQQ ~,83037
SIC/AMZN ~,47303
NAC/KIMBER A,88566
SIC/IVV ~,9416
NAC/FIBRAPL 14,99008
NAC/VALUEGF O,74
NAC/PINFRA L,118
SIC/SHY ~,145664
NAC/HOTEL ~,5676
SIC/TLT ~,5328
NAC/FIBRATC 14,4712
SIC/BAC ~,7555
NAC/IVVPESO ISHRS,52547
SIC/BMY ~,8715
NAC/AGUA ~,9027
NAC/FMTY 14,7868
SIC/CVX ~,9150
SIC/FDX ~,4679
SIC/F ~,4881
NAC/ICH B,144
SIC/GOOGL ~,28346
NAC/GICSA B,22
SIC/MU ~,21039
SIC/MS ~,6278
NAC/FIBRAHD 15,50
NAC/NEMAK A,29112
SIC/PEP ~,8409
NAC/LAMOSA ~,28
SIC/SLB N,11244
SIC/SONY N,2502
SIC/SNY N,3
SIC/TSM N,8645
SIC/USB ~,2
SIC/WFC ~,9501
NAC/CADU A,82
SIC/TGT ~,5333
NAC/LACOMER UBC,49358
SIC/COST ~,4947
NAC/ANB ~,2
NAC/FPLUS 16,318
SIC/M ~,16345
NAC/OMA B,82317
NAC/CUERVO ~,26831
NAC/BBAJIO O,67458
SIC/CL ~,6
NAC/VISTA A,235
NAC/TRAXION A,72042
SIC/IAU ~,20015
SIC/EEM ~,6203
NAC/GMXT ~,1022
NAC/FCFE 18,691
SIC/EWU ~,822
NAC/TMM A,84
SIC/DDD ~,5
NAC/EDUCA 18,24
NAC/STORAGE 18,17
NAC/DINE A,8
NAC/DINE B,3
SIC/BIIB ~,5
SIC/VTI ~,5972
NAC/KOF UBL,50898
NAC/FEMSA UBD,80833
NAC/FINDEP ~,9
NAC/MEGA CPO,16870
NAC/VMEX 19,5109
NAC/ARISTOS A,1
SIC/BAYN N,2
SIC/NESN N,8
NAC/AUTLAN B,81
NAC/COXA ~,7
SIC/TSLA ~,74431
SIC/NKE ~,24919
SIC/GOOG ~,12550
SIC/UPS ~,3251
SIC/DLTR ~,8
SIC/DVYE ~,1
NAC/GAV A,2
SIC/REM ~,3
NAC/FHIPO 14,220
SIC/WHR ~,5
NAC/ALTERNA B,12
SIC/CMG ~,8266
NAC/FEXI 21,1174
SIC/SLV ~,25277
NAC/DLRTRAC 15,17502
SIC/NCLH N,32126
SIC/IBE N,8
SIC/HAL ~,32
SIC/BHC N,1
SIC/MC N,11
SIC/VLUE ~,2
NAC/SITES1 A-1,33556
SIC/SCHW ~,6909
SIC/DVN ~,5134
SIC/DXJ ~,4
SIC/NVO N,6344
SIC/BABA N,59432
SIC/UBS N,2628
SIC/JD N,19001
SIC/VIPS N,11660
SIC/MDT N,1
SIC/VXUS ~,10
SIC/VIOO ~,1
SIC/RSP ~,3428
SIC/PPG ~,1
SIC/HEZU ~,1
SIC/TAN ~,6
SIC/LQDE N,1
NAC/LASITE B-1,1528
SIC/CRM ~,28122
SIC/EWG ~,5884
SIC/KHC ~,6
SIC/PYPL ~,8010
NAC/FMX 23,195
SIC/ADSK ~,3078
SIC/GLD ~,7889
SIC/CAR ~,1
SIC/CSPX N,40967
SIC/VOW3 N,15
NAC/CTAXTEL A,760
SIC/ADBE ~,5561
SIC/STZ ~,2062
SIC/PBR N,6018
SIC/VALE N,2094
SIC/PRU ~,1
NAC/CMOCTEZ ~,21
SIC/X ~,7585
NAC/LIVEPOL 1,17
SIC/SPY ~,53887
SIC/XLF ~,9702
SIC/TWLO ~,4130
SIC/XLY ~,19928
SIC/FIS ~,4
NAC/AGUILAS CPO,417
SIC/XLV ~,5819
SIC/LH ~,1
SIC/CHTR ~,2
SIC/CBU7 N,23386
SIC/FCX ~,4736
SIC/GSLC ~,1
NAC/FNOVA 17,565
SIC/IHYG N,1
SIC/CNDX N,194
SIC/TECL ~,44835
SIC/YANG ~,13197
SIC/JNUG ~,27747
SIC/YINN ~,111708
SIC/TNA ~,8269
SIC/GUSH ~,21615
SIC/TZA ~,3029
SIC/DRIP ~,18016
SIC/JDST ~,42520
SIC/SPXL ~,21199
SIC/SPXS ~,8311
SIC/ALB ~,8935
SIC/AVGO ~,42383
SIC/KKRC ~,1
